Date,ACORN-C,ACORN-F,ACORN-P
2014-01-12,13.38541030883789,10.66794204711914,7.309140205383301
2014-01-13,13.05577564239502,10.347477912902832,7.316298007965088
2014-01-14,13.033190727233887,10.416747093200684,7.492227077484131
2014-01-15,13.036194801330566,10.428386688232422,7.545945644378662
2014-01-16,13.021198272705078,10.4340181350708,7.5814361572265625
2014-01-17,13.142873764038086,10.530122756958008,7.6103644371032715
2014-01-18,13.113825798034668,10.474894523620605,7.550330638885498
2014-01-19,13.225008964538574,10.54340648651123,7.5277323722839355
2014-01-20,12.938934326171875,10.332910537719727,7.491666316986084
2014-01-21,13.050793647766113,10.473271369934082,7.514767169952393
2014-01-22,13.006864547729492,10.446365356445312,7.503780841827393
2014-01-23,13.090128898620605,10.553311347961426,7.590950965881348
2014-01-24,13.23548698425293,10.715096473693848,7.731313228607178
2014-01-25,13.228560447692871,10.701906204223633,7.726978302001953
2014-01-26,13.428617477416992,10.806597709655762,7.767444610595703
2014-01-27,13.405476570129395,10.692657470703125,7.722741603851318
2014-01-28,13.42178726196289,10.685800552368164,7.721325397491455
2014-01-29,13.732495307922363,10.968328475952148,7.853338241577148
2014-01-30,13.911389350891113,11.158369064331055,7.923567771911621
2014-01-31,14.11263656616211,11.30951976776123,7.95381498336792
2014-02-01,13.975598335266113,11.185213088989258,7.8383660316467285
2014-02-02,13.69795036315918,10.99328327178955,7.805490493774414
2014-02-03,13.26269245147705,10.660347938537598,7.763082027435303
2014-02-04,13.114104270935059,10.5728759765625,7.737834930419922
2014-02-05,13.370317459106445,10.673379898071289,7.650075912475586
2014-02-06,13.50145435333252,10.690058708190918,7.491941928863525
2014-02-07,13.64465618133545,10.796996116638184,7.415517330169678
2014-02-08,13.833816528320312,10.914107322692871,7.485174179077148
2014-02-09,14.094374656677246,11.096631050109863,7.5468058586120605
2014-02-10,13.687897682189941,10.752811431884766,7.497795581817627
2014-02-11,13.598857879638672,10.74721908569336,7.5485124588012695
2014-02-12,13.735974311828613,10.898056030273438,7.593465805053711
2014-02-13,13.815632820129395,10.989153861999512,7.63999605178833
