Date,Predicted_Conso_kWh
2014-01-13,14.065760463368893
2014-01-14,13.736681643243063
2014-01-15,13.715635460689015
2014-01-16,13.734220867480847
2014-01-17,13.899079530999476
2014-01-18,13.874266072301166
2014-01-19,13.871887301247938
2014-01-20,13.819700052069038
2014-01-21,13.639121559045373
2014-01-22,13.60773315645902
2014-01-23,13.804602650308418
2014-01-24,13.888265428557618
2014-01-25,13.77115447572097
2014-01-26,13.78666312437272
2014-01-27,13.661699167965134
2014-01-28,13.68119115129113
2014-01-29,13.736625759672856
2014-01-30,13.780067178287396
2014-01-31,13.74818315329265
2014-02-01,13.810135961562718
2014-02-02,13.806591551465514
2014-02-03,13.673521465168163
2014-02-04,13.636406879776297
2014-02-05,13.741653788068543
2014-02-06,13.79886973027532
2014-02-07,13.720481307667715
2014-02-08,13.822545648316774
2014-02-09,13.823881065525526
2014-02-10,13.628732392500842
2014-02-11,13.641327663583274
2014-02-12,13.748156641147038
2014-02-13,13.763731078918516
